wkt_geom,id,building_id,level,age,access_point,time,comment,function,population
LINESTRING(30.315411 59.970552;30.315527 59.970542;30.315542 59.970582;30.315703 59.970567;30.315692 59.970521;30.315788 59.970511;30.315542 59.969886;30.315200 59.969919;30.315300 59.970192;30.315250 59.970198;30.315269 59.970280;30.315311 59.970276;30.315411 59.970552;30.315411 59.970552),56,23,1,3,20,1,poligraphy,production,1
LINESTRING(30.315411 59.970552;30.315527 59.970542;30.315542 59.970582;30.315703 59.970567;30.315692 59.970521;30.315788 59.970511;30.315542 59.969886;30.315200 59.969919;30.315300 59.970192;30.315250 59.970198;30.315269 59.970280;30.315311 59.970276;30.315411 59.970552;30.315411 59.970552),57,23,2,3,20,1,n/a,office,1
LINESTRING(30.315411 59.970552;30.315527 59.970542;30.315542 59.970582;30.315703 59.970567;30.315692 59.970521;30.315788 59.970511;30.315542 59.969886;30.315200 59.969919;30.315300 59.970192;30.315250 59.970198;30.315269 59.970280;30.315311 59.970276;30.315411 59.970552;30.315411 59.970552),58,23,3,3,21,1,n/a,office,1
LINESTRING(30.314461 59.969920;30.314680 59.969893;30.314689 59.969928;30.315025 59.969897;30.315204 59.970554;30.315050 59.970564;30.315056 59.970600;30.314970 59.970606;30.314961 59.970571;30.314745 59.970584;30.314785 59.970729;30.314650 59.970734;30.314461 59.969920;30.314461 59.969920),59,11,1,3,22,1,KEY,service,1
LINESTRING(30.314461 59.969920;30.314680 59.969893;30.314689 59.969928;30.315025 59.969897;30.315204 59.970554;30.315050 59.970564;30.315056 59.970600;30.314970 59.970606;30.314961 59.970571;30.314745 59.970584;30.314785 59.970729;30.314650 59.970734;30.314461 59.969920;30.314461 59.969920),60,11,2,0,22,n/a,n/a,empty,1
LINESTRING(30.314461 59.969920;30.314680 59.969893;30.314689 59.969928;30.315025 59.969897;30.315204 59.970554;30.315050 59.970564;30.315056 59.970600;30.314970 59.970606;30.314961 59.970571;30.314745 59.970584;30.314785 59.970729;30.314650 59.970734;30.314461 59.969920;30.314461 59.969920),61,11,3,0,22,n/a,n/a,empty,1
LINESTRING(30.314461 59.969920;30.314680 59.969893;30.314689 59.969928;30.315025 59.969897;30.315204 59.970554;30.315050 59.970564;30.315056 59.970600;30.314970 59.970606;30.314961 59.970571;30.314745 59.970584;30.314785 59.970729;30.314650 59.970734;30.314461 59.969920;30.314461 59.969920),62,11,4,0,22,n/a,n/a,empty,1
LINESTRING(30.314461 59.969920;30.314680 59.969893;30.314689 59.969928;30.315025 59.969897;30.315204 59.970554;30.315050 59.970564;30.315056 59.970600;30.314970 59.970606;30.314961 59.970571;30.314745 59.970584;30.314785 59.970729;30.314650 59.970734;30.314461 59.969920;30.314461 59.969920),63,11,5,0,22,n/a,n/a,empty,1
LINESTRING(30.316484 59.969069;30.316621 59.969052;30.316605 59.969019;30.316864 59.968986;30.316882 59.969024;30.317038 59.969004;30.316920 59.968769;30.316358 59.968839;30.316484 59.969069;30.316484 59.969069),74,4,1,3,23,1,sklad,production,1
LINESTRING(30.316484 59.969069;30.316621 59.969052;30.316605 59.969019;30.316864 59.968986;30.316882 59.969024;30.317038 59.969004;30.316920 59.968769;30.316358 59.968839;30.316484 59.969069;30.316484 59.969069),75,4,2,0,23,1,sklad,empty,1
LINESTRING(30.316484 59.969069;30.316621 59.969052;30.316605 59.969019;30.316864 59.968986;30.316882 59.969024;30.317038 59.969004;30.316920 59.968769;30.316358 59.968839;30.316484 59.969069;30.316484 59.969069),76,4,3,0,23,1,sklad,empty,1
LINESTRING(30.316484 59.969069;30.316621 59.969052;30.316605 59.969019;30.316864 59.968986;30.316882 59.969024;30.317038 59.969004;30.316920 59.968769;30.316358 59.968839;30.316484 59.969069;30.316484 59.969069),77,4,4,0,23,1,sklad,empty,1
LINESTRING(30.315015 59.969158;30.314943 59.969013;30.316358 59.968839;30.316484 59.969069;30.316161 59.969112;30.316278 59.969345;30.315713 59.969411;30.315601 59.969186;30.315547 59.969193;30.315500 59.969097;30.315015 59.969158;30.315015 59.969158),78,9,1,2,24,3,a2,entertainment,3
LINESTRING(30.314943 59.969013;30.316358 59.968839;30.316484 59.969069;30.315547 59.969193;30.315500 59.969097;30.315015 59.969158;30.314943 59.969013;30.314943 59.969013),79,9,2,3,24,1,a2,office,1
LINESTRING(30.314943 59.969013;30.316358 59.968839;30.316484 59.969069;30.315547 59.969193;30.315500 59.969097;30.315015 59.969158;30.314943 59.969013;30.314943 59.969013),80,9,3,0,25,n/a,n/a,empty,0
LINESTRING(30.314943 59.969013;30.316358 59.968839;30.316484 59.969069;30.315547 59.969193;30.315500 59.969097;30.315015 59.969158;30.314943 59.969013;30.314943 59.969013),81,9,4,2,25,4,tseh22,art,2
LINESTRING(30.315265 59.969485;30.315373 59.969699;30.316715 59.969531;30.316484 59.969069;30.316161 59.969112;30.316278 59.969345;30.315412 59.969448;30.315421 59.969465;30.315265 59.969485;30.315265 59.969485),84,9,3,0,26,n/a,n/a,empty,0
LINESTRING(30.315265 59.969485;30.315373 59.969699;30.316715 59.969531;30.316484 59.969069;30.316161 59.969112;30.316278 59.969345;30.315412 59.969448;30.315421 59.969465;30.315265 59.969485;30.315265 59.969485),82,9,1,3,26,1,sklad,production,1
LINESTRING(30.315265 59.969485;30.315373 59.969699;30.316715 59.969531;30.316484 59.969069;30.316161 59.969112;30.316278 59.969345;30.315412 59.969448;30.315421 59.969465;30.315265 59.969485;30.315265 59.969485),83,9,2,0,26,n/a,n/a,empty,0
LINESTRING(30.315148 59.969257;30.315239 59.969401;30.315376 59.969382;30.315412 59.969448;30.315627 59.969421;30.315558 59.969291;30.315649 59.969281;30.315601 59.969186;30.315547 59.969193;30.315148 59.969257;30.315148 59.969257),87,9,3,3,27,1,n/a,office,1
LINESTRING(30.315148 59.969257;30.315239 59.969401;30.315376 59.969382;30.315412 59.969448;30.315627 59.969421;30.315558 59.969291;30.315649 59.969281;30.315601 59.969186;30.315547 59.969193;30.315148 59.969257;30.315148 59.969257),85,9,1,3,27,1,n/a,retail,1
LINESTRING(30.315148 59.969257;30.315239 59.969401;30.315376 59.969382;30.315412 59.969448;30.315627 59.969421;30.315558 59.969291;30.315649 59.969281;30.315601 59.969186;30.315547 59.969193;30.315148 59.969257;30.315148 59.969257),86,9,2,3,27,1,n/a,office,1
LINESTRING(30.314461 59.969920;30.314680 59.969893;30.314729 59.969413;30.314495 59.969415;30.314471 59.969575;30.314461 59.969920;30.314461 59.969920),88,10,1,3,28,4,vasabi,restaurant,2
