access_point1,access_point2,dist
7,32,31596.908
7,33,14279.715
7,14,7983.0474
7,15,6442.0186
7,8,5210.671
7,9,5396.051
7,16,22455.78
7,17,18426.701
7,18,19260.475
7,19,28392.04
7,20,19939.541
7,21,31381.236
7,34,8555.23
7,35,23687.877
7,36,41318.2
7,37,9048.293
7,38,64220.215
7,39,50477.38
7,41,13492.287
8,1,7019.117
8,2,8752.099
8,3,10332.277
8,4,14665.29
8,5,25441.975
8,6,25233.268
8,31,18402.326
8,30,22833.982
8,29,34528.492
8,24,40115.72
8,23,1639.4486
8,25,22586.994
8,27,19691.762
8,28,44786.69
8,26,11966.303
8,22,64382.477
8,10,73781.73
8,11,48797.52
8,12,13634.5205
8,13,19258.873
8,32,35444.07
8,33,17369.773
8,14,7607.741
8,15,5807.009
8,7,5352.9453
8,9,144.0
8,16,20824.625
8,17,13222.194
8,18,13778.917
8,19,21856.049
8,20,14284.9
8,21,26494.652
8,34,7527.5513
8,35,25971.195
8,36,40115.72
8,37,2403.1792
8,38,59532.168
8,39,54156.574
8,41,11748.289
9,1,8645.417
9,2,10529.692
9,3,12074.113
9,4,16106.87
9,5,25761.139
9,6,25565.174
9,31,19529.088
9,30,23483.877
9,29,34188.88
9,24,39138.586
9,23,890.66626
9,25,20558.955
9,27,17960.684
9,28,43462.3
9,26,10889.136
9,22,61686.066
9,10,75577.39
9,11,50990.95
9,12,13337.321
9,13,19235.238
9,32,37521.902
9,33,18873.377
9,14,8167.8525
9,15,6208.0117
9,7,6451.819
9,8,144.0
9,16,20509.697
9,17,12186.568
9,18,12615.29
9,19,20313.912
9,20,13048.044
9,21,24791.143
9,34,7376.107
9,35,26448.805
9,36,39138.586
9,37,1493.3164
9,38,57115.332
9,39,56324.17
9,41,11569.831
16,1,33522.348
16,2,41045.406
16,3,46358.082
16,4,58214.543
16,5,82858.31
16,6,82297.91
16,31,66436.5
16,30,75501.96
16,29,93434.586
16,24,101318.85
16,23,23297.088
16,25,14009.594
16,27,11007.768
16,28,105707.3
16,26,5118.7144
