access_point1,access_point2,dist
14,35,46220.0
14,36,25581.867
14,37,15097.328
14,38,24455.906
14,39,9131.061
14,41,2891.2566
15,1,11581.811
15,2,16405.596
15,3,20126.02
15,4,29004.879
15,5,48683.688
15,6,48258.06
15,31,35622.266
15,30,43147.754
15,29,27112.113
15,24,20950.518
15,23,8528.489
15,25,19297.762
15,27,16073.799
15,28,28635.646
15,26,8731.023
15,22,21924.984
15,10,19986.076
15,11,8452.806
15,12,2262.5337
15,13,4141.2607
15,32,13383.443
15,33,3854.0708
15,14,291.91824
15,7,6715.128
15,8,5818.661
15,9,5858.591
15,16,5955.7144
15,17,8820.483
15,18,9975.194
15,19,11599.387
15,20,10665.59
15,21,11142.508
15,34,219.0964
15,35,39367.87
15,36,20950.518
15,37,12034.574
15,38,19566.51
15,39,8046.5537
15,41,1754.6688
7,1,792.4739
7,2,2631.7852
7,3,4525.158
7,4,9882.885
7,5,23649.361
7,6,23393.863
7,31,14480.519
7,30,20118.7
7,29,24076.05
7,24,18357.482
7,23,7541.1855
7,25,30190.543
7,27,26574.307
7,28,26222.602
7,26,17205.24
7,22,34454.97
7,10,46758.188
7,11,27761.867
7,12,14729.819
7,13,19995.686
7,32,31596.908
7,33,14279.715
7,14,7763.7217
7,15,6442.0186
7,8,5210.671
7,9,5396.051
7,16,22455.78
7,17,18426.701
7,18,19260.475
7,19,28392.04
7,20,19939.541
7,21,31381.236
7,34,8555.23
7,35,23687.877
7,36,18357.482
7,37,9048.293
7,38,31372.627
7,39,26914.07
7,41,13492.287
8,1,7019.117
8,2,8752.099
8,3,10332.277
8,4,14665.29
8,5,34003.47
8,6,33794.77
8,31,30024.793
8,30,31177.9
8,29,13925.602
8,24,9421.335
8,23,1639.4486
8,25,22586.994
8,27,19691.762
8,28,15781.154
8,26,11966.303
8,22,26739.26
8,10,43993.043
8,11,26161.84
8,12,13634.5205
8,13,19258.873
8,32,33721.086
8,33,15975.892
8,14,7613.9546
8,15,5807.009
8,7,5352.9453
8,9,144.0
8,16,20824.625
8,17,13222.194
8,18,13778.917
8,19,21856.049
8,20,14284.9
8,21,26494.652
8,34,7527.5513
8,35,22492.709
8,36,9421.335
8,37,2403.1792
8,38,24028.883
8,39,25311.93
8,41,11748.289
9,1,8645.417
9,2,10529.692
9,3,12074.113
9,4,16106.87
9,5,29450.658
9,6,29254.693
9,31,26030.814
9,30,26979.566
9,29,11389.694
9,24,7396.419
9,23,890.66626
9,25,20558.955
9,27,17960.684
9,28,13124.611
9,26,10889.136
9,22,24678.117
9,10,43382.062
9,11,25789.715
9,12,13337.321
9,13,19235.238
9,32,35258.438
9,33,16980.697
9,14,8176.356
9,15,6208.0117
9,7,6451.819
9,8,144.0
9,16,20509.697
9,17,12186.568
9,18,12615.29
9,19,20313.912
9,20,13048.044
9,21,24791.143
9,34,7376.107
9,35,19139.73
9,36,7396.419
9,37,1493.3164
9,38,22116.184
9,39,25070.213
9,41,11569.831
16,1,33522.348
16,2,41045.406
16,3,46358.082
16,4,58214.543
16,5,71476.03
16,6,70915.625
16,31,66436.5
16,30,63601.832
16,29,33883.94
16,24,28740.293
16,23,23297.088
16,25,14009.594
16,27,11007.768
16,28,21884.098
16,26,5118.7144
16,22,11932.007
16,10,5440.2744
16,11,2125.5981
16,12,1065.2557
16,13,8117.7803
16,32,7784.4985
16,33,17265.5
16,14,7882.087
16,15,5425.9165
16,7,24834.332
16,8,20243.201
16,9,20158.205
16,17,1126.5052
16,18,3272.269
16,19,959.0886
16,20,4779.5493
16,21,846.3109
16,34,3754.0327
